201,368975.932,6190760.635,90.663,
202,368987.776,6190761.433,90.791,
203,368998.000,6190762.404,90.805,
204,369007.761,6190763.524,90.750,
205,369017.611,6190764.452,90.504,
206,369027.528,6190765.418,90.478,
207,369037.783,6190766.320,90.886,
208,369047.589,6190767.423,91.042,
209,369057.439,6190768.209,91.048,
210,369067.339,6190769.449,90.970,
211,369077.931,6190770.652,91.199,
212,369087.061,6190771.329,90.826,
213,369096.720,6190772.373,90.649,
214,369106.858,6190773.421,90.592,
215,369116.838,6190774.460,90.543,
216,369126.793,6190775.281,90.494,
217,369136.815,6190776.265,90.484,
218,369146.934,6190777.107,90.551,
219,369156.517,6190778.388,90.610,
220,369166.730,6190779.219,90.576,
221,369176.674,6190780.457,90.820,
222,369186.518,6190781.075,90.844,
1201,368975.930,6190760.638,90.664,
1202,368987.774,6190761.433,90.792,
1203,368997.994,6190762.411,90.810,
1204,369007.752,6190763.536,90.753,
1205,369017.607,6190764.455,90.505,
1206,369027.528,6190765.418,90.478,
1207,369037.790,6190766.323,90.887,
1208,369047.590,6190767.427,91.042,
1209,369057.437,6190768.208,91.048,
1210,369067.339,6190769.448,90.970,
1211,369077.935,6190770.649,91.198,
1212,369087.063,6190771.321,90.827,
1213,369096.718,6190772.370,90.650,
1214,369106.860,6190773.426,90.593,
1215,369116.838,6190774.463,90.543,
1216,369126.796,6190775.282,90.494,
1217,369136.817,6190776.269,90.484,
1218,369146.938,6190777.105,90.551,
1219,369156.523,6190778.385,90.610,
1220,369166.698,6190779.230,90.572,
1221,369176.682,6190780.440,90.818,
1222,369186.523,6190781.068,90.844,
